client_id,age,sexe,zone,secteur,region,revenu_declare,anciennete_mois,defaut_90j,gt_C_star,gt_income_stab,gt_distress,gt_hidden_support,gt_camf_intensity,gt_p_mensonge,gt_defaut_true,gt_revenu_reel
1,27,F,urbaine,informel,Nord,109000.0,38,0,-1.1363,-0.3835,0.8139,-0.694,0.5174,0.4248,0,97000.0
2,26,M,urbaine,informel,Ouest,174000.0,71,0,0.2871,0.8949,-0.8814,-0.5429,0.7169,0.0545,0,174000.0
3,19,M,urbaine,formel,Sud,189000.0,9,0,-0.4672,0.8274,0.7714,-0.2002,0.5309,0.2418,0,170000.0
4,20,F,urbaine,informel,Extrême-Nord,33000.0,86,0,-0.3632,-1.6457,0.6543,0.8435,0.7543,0.2719,0,30000.0
5,28,F,semi_urbaine,formel,Ouest,162000.0,49,1,-1.3695,-0.0724,2.682,-0.1867,0.6462,0.7158,1,116000.0
6,28,M,urbaine,informel,Nord-Ouest,31000.0,57,1,-0.7481,-1.5014,0.2223,-0.289,0.5498,0.3663,1,30000.0
7,27,F,semi_urbaine,informel,Extrême-Nord,34000.0,18,1,-1.3235,-1.6948,0.962,0.8702,0.6926,0.7261,1,30000.0
8,20,M,urbaine,formel,Littoral,235000.0,51,0,-0.8618,0.7177,2.9485,-0.1988,0.5965,0.6213,0,163000.0
9,27,F,semi_urbaine,formel,Est,198000.0,1,0,0.2473,1.1603,0.2984,1.4167,0.5213,0.2104,0,190000.0
10,19,F,urbaine,informel,Centre,158000.0,85,0,-0.4313,0.4406,0.5122,-0.9195,0.3993,0.2542,0,146000.0
11,20,M,semi_urbaine,formel,Extrême-Nord,192000.0,72,0,1.4894,1.2026,-0.8424,-0.8364,0.7227,0.0563,0,192000.0
12,26,M,urbaine,informel,Sud-Ouest,158000.0,44,0,-1.1723,-0.0119,2.139,0.3046,0.5536,0.7276,0,119000.0
13,29,M,urbaine,informel,Extrême-Nord,104000.0,80,0,0.2733,-0.2734,-0.5183,0.4043,0.7041,0.1876,0,104000.0
14,29,M,semi_urbaine,informel,Nord-Ouest,65000.0,78,0,-0.9913,-1.0731,1.1018,-0.565,0.8732,0.2504,0,56000.0
15,35,M,urbaine,formel,Extrême-Nord,130000.0,12,0,0.3914,0.1599,-0.3961,1.3436,0.3874,0.1617,0,130000.0
16,33,M,urbaine,informel,Extrême-Nord,44000.0,6,0,-0.9237,-1.3213,0.4568,1.9249,0.7306,0.2121,0,41000.0
17,24,M,semi_urbaine,informel,Adamaoua,69000.0,25,0,-0.5082,-0.8452,-0.7611,-0.3279,0.8141,0.1574,0,69000.0
18,32,F,semi_urbaine,formel,Nord-Ouest,197000.0,1,0,-0.1134,0.6889,1.4904,1.7873,0.7363,0.6906,0,161000.0
19,19,M,urbaine,formel,Adamaoua,149000.0,55,0,-0.1789,0.4822,-0.2006,-2.3821,0.3859,0.231,0,149000.0
20,33,F,urbaine,formel,Sud-Ouest,340000.0,51,0,3.5809,3.6647,-1.135,1.0761,0.4003,0.0984,0,340000.0
21,24,M,semi_urbaine,formel,Ouest,91000.0,52,1,-1.4452,-0.7458,1.3922,-0.5578,0.6977,0.4099,1,75000.0
22,31,F,semi_urbaine,informel,Ouest,115000.0,7,1,-0.0894,-0.1251,0.1448,1.2761,0.7449,0.3037,1,112000.0
23,35,F,semi_urbaine,informel,Extrême-Nord,40000.0,88,0,-0.77,-1.4237,1.0013,-0.6613,0.8333,0.5595,0,35000.0
24,30,M,urbaine,informel,Sud,118000.0,93,0,-0.4421,-0.3878,1.4604,-0.0685,0.5948,0.644,0,97000.0
25,34,M,semi_urbaine,formel,Centre,148000.0,57,0,-0.2479,0.2529,0.6278,-0.5101,0.7688,0.3112,0,135000.0
26,18,M,urbaine,formel,Ouest,207000.0,1,0,1.1359,1.4449,-2.0443,-0.2139,0.7615,0.047,0,207000.0
27,21,F,semi_urbaine,formel,Est,145000.0,38,0,-0.0918,0.1503,0.8308,2.1299,0.6772,0.2071,0,129000.0
28,29,M,urbaine,informel,Nord-Ouest,117000.0,69,0,-0.6748,-0.1913,0.542,-0.1079,0.7129,0.2783,0,109000.0
29,27,M,semi_urbaine,informel,Nord-Ouest,99000.0,72,0,0.479,-0.4303,0.3449,2.4103,0.8694,0.4341,0,94000.0
30,20,F,urbaine,formel,Littoral,72000.0,24,0,-0.8137,-0.8011,-0.0364,-0.3858,0.3635,0.3042,0,72000.0
31,30,F,urbaine,informel,Centre,81000.0,79,0,1.5029,-0.6521,-1.0128,1.4918,0.486,0.1352,0,81000.0
32,19,F,semi_urbaine,formel,Ouest,140000.0,92,0,-0.7515,0.2181,0.3492,-1.3257,0.785,0.4754,0,133000.0
33,35,F,urbaine,formel,Adamaoua,160000.0,49,0,0.6721,0.6738,-1.2807,-0.2865,0.4183,0.1045,0,160000.0
34,20,M,semi_urbaine,formel,Sud,190000.0,37,0,0.7111,1.1589,-0.1604,-0.2361,0.6272,0.1702,0,190000.0
35,26,M,urbaine,informel,Nord-Ouest,119000.0,50,0,0.098,-0.2346,0.7916,1.5377,0.6768,0.2651,0,106000.0
36,32,F,semi_urbaine,informel,Sud-Ouest,131000.0,3,0,-2.1531,-0.2522,1.6711,0.4852,0.4851,0.7969,0,105000.0
37,27,M,urbaine,informel,Sud-Ouest,30000.0,50,0,-2.0129,-1.7208,-0.1903,-2.0881,0.6467,0.3298,0,30000.0
38,31,M,urbaine,formel,Extrême-Nord,231000.0,3,1,-1.013,1.1397,1.5175,-1.3101,0.3296,0.7586,1,188000.0
39,30,F,urbaine,formel,Est,132000.0,4,0,-0.7246,-0.0959,1.0548,-1.0127,0.5397,0.721,0,114000.0
40,35,M,urbaine,informel,Sud-Ouest,170000.0,53,0,1.3018,0.7471,0.214,0.9341,0.7172,0.1709,0,165000.0
41,26,F,urbaine,formel,Sud,235000.0,49,0,1.7712,1.9164,-1.0027,0.805,0.5304,0.0487,0,235000.0
42,35,M,semi_urbaine,informel,Est,109000.0,94,0,0.6243,-0.1879,-0.789,-0.0004,0.774,0.0314,0,109000.0
43,27,M,semi_urbaine,informel,Nord,67000.0,49,1,-1.421,-1.0233,0.8986,-0.2485,0.6344,0.589,1,59000.0
44,34,F,semi_urbaine,formel,Adamaoua,155000.0,94,0,1.5293,0.5833,-0.6146,1.0164,0.6135,0.1886,0,155000.0
45,31,F,urbaine,informel,Sud,180000.0,77,0,-0.4914,0.3487,1.8408,-1.1295,0.7071,0.6716,0,141000.0
46,20,M,urbaine,informel,Adamaoua,101000.0,33,0,0.3759,-0.3155,-0.0144,0.4577,0.8258,0.1482,0,101000.0
47,29,F,urbaine,informel,Sud-Ouest,86000.0,88,0,0.2142,-0.564,-0.2318,0.3725,0.8445,0.2206,0,86000.0
48,33,M,semi_urbaine,informel,Extrême-Nord,173000.0,46,0,-0.4704,0.5635,0.8462,0.0254,0.5631,0.4682,0,154000.0
49,20,M,semi_urbaine,informel,Nord,150000.0,57,0,0.5894,0.4976,-0.0276,0.6977,0.7923,0.3647,0,150000.0
50,33,M,urbaine,formel,Extrême-Nord,137000.0,10,0,0.4318,0.2537,0.0718,0.1021,0.3162,0.2551,0,135000.0
51,19,M,semi_urbaine,informel,Nord,37000.0,21,1,-1.9113,-1.6541,1.6538,0.7974,0.8393,0.7082,1,30000.0
52,33,F,urbaine,formel,Extrême-Nord,189000.0,50,0,-0.5506,1.0564,0.1978,-1.3341,0.4029,0.2321,0,183000.0
53,32,F,urbaine,informel,Nord-Ouest,82000.0,26,0,-0.8966,-0.7673,0.7415,0.6145,0.6026,0.593,0,74000.0
54,20,F,urbaine,informel,Sud-Ouest,150000.0,57,0,-0.1041,0.2143,0.8671,1.0266,0.8096,0.5398,0,133000.0
55,31,F,urbaine,informel,Sud-Ouest,129000.0,8,0,-0.0236,0.1512,-1.0923,0.321,0.504,0.0633,0,129000.0
56,20,F,semi_urbaine,informel,Nord,35000.0,24,0,-1.3927,-1.8889,1.0386,0.9012,0.7336,0.6831,0,30000.0
57,28,M,semi_urbaine,informel,Nord-Ouest,140000.0,64,0,-0.0598,0.0811,0.796,0.1901,0.6802,0.611,0,125000.0
58,34,F,urbaine,formel,Sud,214000.0,59,0,1.0642,1.1145,0.9631,0.8913,0.3513,0.4616,0,187000.0
59,21,M,urbaine,formel,Sud,214000.0,94,0,0.1169,1.2372,0.676,0.0652,0.3511,0.3721,0,194000.0
